4225
[12.1856,-0.00433731,-21.8963]
[32,2.5611e-11,31][0]
[-32,0.509261,30][0]
[-31,0.542897,30][0]
[-30,0.577777,30][0]
[-29,0.662461,30][0]
[-28,0.778273,30][0]
[-27,0.898594,30][0]
[-26,1.00718,30][0]
[-25,1.10064,30][1]
[-24,1.17921,30][1]
[-23,1.23432,30][1]
[-22,1.25119,30][1]
[-21,1.23483,30][1]
[-20,1.21974,30][1]
[-19,1.25268,30][1]
[-18,1.38135,30][1]
[-17,1.63045,30][1]
[-16,1.96604,30][1]
[-15,2.29846,30][1]
[-14,2.56001,30][0]
[-13,2.75609,30][0]
[-12,2.92081,30][0]
[-11,3.07044,30][0]
[-10,3.19567,30][0]
[-9,3.28782,30][0]
[-8,3.33677,30][0]
[-7,3.32067,30][0]
[-6,3.20977,30][0]
[-5,2.98621,30][0]
[-4,2.6617,30][0]
[-3,2.27248,30][0]
[-2,1.86558,30][0]
[-1,1.48207,30][0]
[0,1.15014,30][0]
[1,0.88292,30][0]
[2,0.680373,30][0]
[3,0.533485,30][1]
[4,0.428609,30][1]
[5,0.351608,30][0]
[6,0.290889,30][0]
[7,0.238833,30][0]
[8,0.191734,30][0]
[9,0.148774,30][0]
[10,0.110664,30][0]
[11,0.0784594,30][0]
[12,0.0528033,30][0]
[13,0.0336271,30][0]
[14,0.0202126,30][0]
[15,0.0114421,30][0]
[16,0.00608823,30][0]
[17,0.00303951,30][0]
[18,0.00142143,30][0]
[19,0.00062169,30][0]
[20,0.000253917,30][0]
[21,9.67014e-05,30][0]
[22,3.42879e-05,30][0]
[23,1.13017e-05,30][0]
[24,3.45725e-06,30][0]
[25,9.79808e-07,30][0]
[26,2.5677e-07,30][0]
[27,6.20901e-08,30][0]
[28,1.38215e-08,30][0]
[29,2.82481e-09,30][0]
[30,5.28627e-10,30][0]
[31,9.15424e-11,30][0]
[32,2.3599e-11,30][0]
[-32,0.526608,29][0]
[-31,0.564501,29][0]
[-30,0.607077,29][0]
[-29,0.710263,29][0]
[-28,0.843447,29][1]
[-27,0.962844,29][1]
[-26,1.04208,29][1]
[-25,1.08952,29][1]
[-24,1.11958,29][1]
[-23,1.13313,29][1]
[-22,1.12801,29][1]
[-21,1.1085,29][1]
[-20,1.10173,29][1]
[-19,1.14771,29][1]
[-18,1.2938,29][1]
[-17,1.57382,29][1]
[-16,1.96466,29][1]
[-15,2.3726,29][1]
[-14,2.7051,29][1]
[-13,2.96565,29][1]
[-12,3.20443,29][0]
[-11,3.42176,29][0]
[-10,3.5958,29][0]
[-9,3.7177,29][0]
[-8,3.79998,29][0]
[-7,3.81907,29][0]
[-6,3.71512,29][0]
[-5,3.45467,29][0]
[-4,3.05101,29][0]
[-3,2.56892,29][0]
[-2,2.0737,29][0]
[-1,1.61859,29][0]
[0,1.73633,29][1]
[1,1.83585,29][1]
[2,1.11302,29][0]
[3,0.555157,29][1]
[4,0.445242,29][1]
[5,0.366353,29][1]
[6,0.304894,29][1]
[7,0.25206,29][0]
[8,0.203655,29][0]
[9,0.158853,29][0]
[10,0.118609,29][1]
[11,0.0842887,29][1]
[12,0.0567799,29][0]
[13,0.036148,29][0]
[14,0.0216962,29][0]
[15,0.0122519,29][0]
[16,0.00649758,29][0]
[17,0.00323081,29][0]
[18,0.00150389,29][0]
[19,0.00065439,29][1]
[20,0.000265802,29][1]
[21,0.00010064,29][0]
[22,3.54699e-05,29][1]
[23,1.16192e-05,29][1]
[24,3.53214e-06,29][0]
[25,9.94724e-07,29][0]
[26,2.59035e-07,29][0]
[27,6.22446e-08,29][0]
[28,1.37697e-08,29][0]
[29,2.79694e-09,29][0]
[30,5.20238e-10,29][0]
[31,8.95096e-11,29][0]
[32,2.28971e-11,29][0]
[-32,0.550935,28][0]
[-31,0.590047,28][0]
[-30,0.636251,28][0]
[-29,0.74681,28][0]
[-28,0.88167,28][1]
[-27,0.977645,28][1]
[-26,1.00726,28][1]
[-25,0.998322,28][1]
[-24,0.977951,28][0]
[-23,0.953726,28][0]
[-22,0.929833,28][0]
[-21,0.912617,28][0]
[-20,0.918057,28][0]
[-19,0.981243,28][0]
[-18,1.14597,28][0]
[-17,1.44708,28][0]
[-16,1.87392,28][0]
[-15,2.35011,28][0]
[-14,2.78599,28][1]
[-13,3.17037,28][1]
[-12,3.5607,28][1]
[-11,3.93058,28][0]
[-10,4.38339,28][0]
[-9,4.52623,28][1]
[-8,4.82006,28][1]
[-7,4.88658,28][0]
[-6,4.93459,28][0]
[-5,5.344,28][0]
[-4,4.2396,28][0]
[-3,3.00691,28][0]
[-2,2.46122,28][0]
[-1,1.80104,28][0]
[0,1.84986,28][1]
[1,1.90418,28][1]
[2,1.15371,28][0]
[3,0.580874,28][1]
[4,0.464207,28][1]
[5,0.383015,28][1]
[6,0.320947,28][1]
[7,0.267535,28][1]
[8,0.21786,28][1]
[9,0.171038,28][1]
[10,0.128325,28][1]
[11,0.0914811,28][1]
[12,0.0617245,28][1]
[13,0.0393051,28][1]
[14,0.0235681,28][1]
[15,0.0132821,28][0]
[16,0.00702344,28][0]
[17,0.00347953,28][0]
[18,0.00161276,28][0]
[19,0.000698422,28][1]
[20,0.000282225,28][1]
[21,0.000106275,28][1]
[22,3.72428e-05,28][1]
[23,1.21286e-05,28][1]
[24,3.665e-06,28][0]
[25,1.02592e-06,28][0]
[26,2.65539e-07,28][0]
[27,6.34214e-08,28][0]
[28,1.39454e-08,28][0]
[29,2.81571e-09,28][0]
[30,5.20628e-10,28][0]
[31,8.9036e-11,28][0]
[32,2.2635e-11,28][0]
[-32,0.578058,27][0]
[-31,0.612463,27][0]
[-30,0.652807,27][0]
[-29,0.746285,27][0]
[-28,0.850401,27][1]
[-27,0.903417,27][1]
[-26,0.888795,27][0]
[-25,0.841691,27][0]
[-24,0.796354,27][0]
[-23,0.763061,27][0]
[-22,0.740951,27][0]
[-21,0.733933,27][0]
[-20,0.755625,27][0]
[-19,0.83443,27][0]
[-18,1.0097,27][0]
[-17,1.31389,27][0]
[-16,1.74669,27][0]
[-15,2.25873,27][0]
[-14,2.78609,27][0]
[-13,3.30646,27][1]
[-12,3.85195,27][1]
[-11,4.80401,27][1]
[-10,5.56083,27][1]
[-9,5.29072,27][1]
[-8,5.47511,27][1]
[-7,5.97948,27][1]
[-6,5.82119,27][1]
[-5,6.72386,27][1]
[-4,5.55141,27][0]
[-3,3.30056,27][0]
[-2,2.76302,27][0]
[-1,1.98749,27][0]
[0,1.46306,27][0]
[1,1.06932,27][0]
[2,0.789265,27][0]
[3,0.600498,27][0]
[4,0.476943,27][0]
[5,0.393895,27][1]
[6,0.331989,27][1]
[7,0.278888,27][1]
[8,0.228822,27][1]
[9,0.180777,27][1]
[10,0.136271,27][0]
[11,0.0974505,27][1]
[12,0.0658641,27][1]
[13,0.04196,27][1]
[14,0.0251445,27][1]
[15,0.0141489,27][1]
[16,0.00746474,27][0]
[17,0.00368745,27][1]
[18,0.00170332,27][1]
[19,0.000734829,27][0]
[20,0.000295712,27][1]
[21,0.000110867,27][1]
[22,3.86747e-05,27][1]
[23,1.25357e-05,27][1]
[24,3.76985e-06,27][0]
[25,1.05013e-06,27][0]
[26,2.70475e-07,27][0]
[27,6.42826e-08,27][0]
[28,1.40653e-08,27][0]
[29,2.826e-09,27][0]
[30,5.19982e-10,27][0]
[31,8.84831e-11,27][0]
[32,2.23811e-11,27][0]
[-32,0.606558,26][0]
[-31,0.631447,26][0]
[-30,0.658208,26][0]
[-29,0.716427,26][0]
[-28,0.77078,26][1]
[-27,0.783808,26][1]
[-26,0.749312,26][0]
[-25,0.696347,26][0]
[-24,0.655754,26][1]
[-23,0.63559,26][1]
[-22,0.631873,26][1]
[-21,0.643815,26][1]
[-20,0.6828,26][0]
[-19,0.773905,26][0]
[-18,0.951822,26][0]
[-17,1.24773,26][0]
[-16,1.67,26][0]
[-15,2.19509,26][0]
[-14,2.7782,26][0]
[-13,3.38494,26][0]
[-12,4.01408,26][1]
[-11,5.02487,26][1]
[-10,5.64853,26][1]
[-9,5.43472,26][0]
[-8,5.45991,26][1]
[-7,6.00025,26][1]
[-6,5.81616,26][1]
[-5,6.26224,26][1]
[-4,5.65953,26][0]
[-3,3.70946,26][0]
[-2,2.91787,26][0]
[-1,2.14202,26][0]
[0,1.55328,26][0]
[1,1.1164,26][0]
[2,0.809357,26][0]
[3,0.606054,26][0]
[4,0.476563,26][1]
[5,0.392591,26][1]
[6,0.331959,26][1]
[7,0.280518,26][0]
[8,0.231603,26][0]
[9,0.183958,26][0]
[10,0.139232,26][0]
[11,0.0998403,26][0]
[12,0.0675825,26][0]
[13,0.0430762,26][0]
[14,0.0258041,26][1]
[15,0.0145046,26][1]
[16,0.00763996,26][1]
[17,0.00376614,26][1]
[18,0.00173542,26][1]
[19,0.000746646,26][0]
[20,0.000299588,26][0]
[21,0.000111974,26][0]
[22,3.89361e-05,26][1]
[23,1.25791e-05,26][1]
[24,3.77028e-06,26][1]
[25,1.04672e-06,26][0]
[26,2.68681e-07,26][0]
[27,6.36388e-08,26][0]
[28,1.38771e-08,26][0]
[29,2.77869e-09,26][0]
[30,5.09541e-10,26][0]
[31,8.64046e-11,26][0]
[32,2.17782e-11,26][0]
[-32,0.637769,25][0]
[-31,0.652736,25][0]
[-30,0.66564,25][0]
[-29,0.69011,25][0]
[-28,0.705609,25][1]
[-27,0.69399,25][1]
[-26,0.656536,25][0]
[-25,0.613375,25][0]
[-24,0.585846,25][0]
[-23,0.581935,25][0]
[-22,0.598665,25][1]
[-21,0.633653,25][1]
[-20,0.693583,25][0]
[-19,0.798123,25][1]
[-18,0.977389,25][1]
[-17,1.26281,25][0]
[-16,1.67215,25][0]
[-15,2.19748,25][0]
[-14,2.8043,25][0]
[-13,3.44759,25][0]
[-12,4.09052,25][0]
[-11,4.66681,25][0]
[-10,5.10861,25][0]
[-9,5.40986,25][0]
[-8,5.62355,25][0]
[-7,5.80959,25][0]
[-6,5.66822,25][1]
[-5,6.09987,25][1]
[-4,5.77239,25][0]
[-3,4.17729,25][0]
[-2,3.09147,25][0]
[-1,2.24665,25][0]
[0,1.60943,25][0]
[1,1.13848,25][1]
[2,0.809407,25][1]
[3,0.594076,25][0]
[4,0.459938,25][1]
[5,0.375952,25][1]
[6,0.31764,25][0]
[7,0.269277,25][0]
[8,0.223311,25][0]
[9,0.178107,25][0]
[10,0.135242,25][0]
[11,0.0971949,25][0]
[12,0.0658769,25][0]
[13,0.0420102,25][0]
[14,0.025162,25][0]
[15,0.0141345,25][1]
[16,0.00743727,25][1]
[17,0.00366131,25][0]
[18,0.0016845,25][0]
[19,0.000723504,25][0]
[20,0.000289779,25][0]
[21,0.000108106,25][0]
[22,3.75199e-05,25][1]
[23,1.20984e-05,25][1]
[24,3.6193e-06,25][1]
[25,1.00289e-06,25][0]
[26,2.56947e-07,25][0]
[27,6.07457e-08,25][0]
[28,1.32216e-08,25][0]
[29,2.64255e-09,25][0]
[30,4.83684e-10,25][0]
[31,8.18651e-11,25][0]
[32,2.05947e-11,25][0]
[-32,0.673916,24][0]
[-31,0.682833,24][0]
[-30,0.687532,24][0]
[-29,0.694155,24][0]
[-28,0.690406,24][1]
[-27,0.666978,24][1]
[-26,0.624817,24][0]
[-25,0.578607,24][0]
[-24,0.546583,24][1]
[-23,0.543306,24][1]
[-22,0.572842,24][0]
[-21,0.63346,24][0]
[-20,0.72472,24][0]
[-19,0.85407,24][1]
[-18,1.04357,24][1]
[-17,1.32365,24][0]
[-16,1.72059,24][0]
[-15,2.23853,24][0]
[-14,2.8511,24][0]
[-13,3.50883,24][0]
[-12,4.15057,24][0]
[-11,4.72057,24][0]
[-10,5.18417,24][0]
[-9,5.53926,24][0]
[-8,5.80635,24][0]
[-7,6.01464,24][0]
[-6,5.67757,24][1]
[-5,5.70639,24][1]
[-4,5.55728,24][0]
[-3,4.32133,24][0]
[-2,3.18928,24][0]
[-1,2.30266,24][0]
[0,1.63263,24][0]
[1,1.1368,24][1]
[2,0.790798,24][1]
[3,0.565942,24][1]
[4,0.428251,24][1]
[5,0.344848,24][1]
[6,0.289559,24][1]
[7,0.245382,24][0]
[8,0.203932,24][0]
[9,0.163077,24][0]
[10,0.124102,24][0]
[11,0.0893295,24][0]
[12,0.060605,24][0]
[13,0.0386667,24][0]
[14,0.0231609,24][0]
[15,0.013007,24][0]
[16,0.00684047,24][0]
[17,0.00336524,24][0]
[18,0.00154708,24][0]
[19,0.000663941,24][0]
[20,0.000265705,24][0]
[21,9.90466e-05,24][0]
[22,3.435e-05,24][1]
[23,1.10686e-05,24][1]
[24,3.30912e-06,24][0]
[25,9.16417e-07,24][0]
[26,2.34669e-07,24][0]
[27,5.54526e-08,24][0]
[28,1.20643e-08,24][0]
[29,2.41027e-09,24][0]
[30,4.40999e-10,24][0]
[31,7.46122e-11,24][0]
[32,1.87635e-11,24][0]
[-32,0.715885,23][0]
[-31,0.723975,23][0]
[-30,0.727029,23][0]
[-29,0.729494,23][0]
[-28,0.719326,23][1]
[-27,0.684171,23][1]
[-26,0.621858,23][0]
[-25,0.542612,23][0]
[-24,0.477843,23][1]
[-23,0.452265,23][1]
[-22,0.481944,23][1]
[-21,0.566206,23][0]
[-20,0.695694,23][0]
[-19,0.866211,23][0]
[-18,1.08327,23][0]
[-17,1.37231,23][1]
[-16,1.7639,23][1]
[-15,2.27257,23][0]
[-14,2.88479,23][0]
[-13,3.55248,23][0]
[-12,4.21037,23][0]
[-11,4.7991,23][0]
[-10,5.28311,23][0]
[-9,5.65373,23][0]
[-8,5.91991,23][0]
[-7,6.11219,23][0]
[-6,6.06839,23][1]
[-5,6.03676,23][1]
[-4,5.58302,23][0]
[-3,4.39249,23][0]
[-2,3.23382,23][0]
[-1,2.3231,23][0]
[0,1.63128,23][0]
[1,1.11748,23][0]
[2,0.758646,23][0]
[3,0.526438,23][1]
[4,0.386209,23][1]
[5,0.303876,23][1]
[6,0.252001,23][1]
[7,0.212559,23][0]
[8,0.17646,23][0]
[9,0.141097,23][0]
[10,0.107379,23][0]
[11,0.0772991,23][0]
[12,0.0524542,23][0]
[13,0.0334759,23][0]
[14,0.0200563,23][0]
[15,0.0112646,23][0]
[16,0.00592405,23][0]
[17,0.00291417,23][0]
[18,0.00133961,23][0]
[19,0.00057488,23][0]
[20,0.000230073,23][0]
[21,8.57758e-05,23][0]
[22,2.9755e-05,23][1]
[23,9.59148e-06,23][1]
[24,2.86889e-06,23][0]
[25,7.94968e-07,23][0]
[26,2.03708e-07,23][0]
[27,4.81735e-08,23][0]
[28,1.04894e-08,23][0]
[29,2.0975e-09,23][0]
[30,3.8413e-10,23][0]
[31,6.50549e-11,23][0]
[32,1.63775e-11,23][0]
[-32,0.762024,22][0]
[-31,0.77318,22][0]
[-30,0.778299,22][0]
[-29,0.782886,22][0]
[-28,0.76668,22][1]
[-27,0.709644,22][1]
[-26,0.603272,22][0]
[-25,0.47508,22][0]
[-24,0.363274,22][0]
[-23,0.315006,22][1]
[-22,0.333859,22][1]
[-21,0.417381,22][1]
[-20,0.566434,22][1]
[-19,0.769672,22][0]
[-18,1.02419,22][0]
[-17,1.34175,22][1]
[-16,1.73935,22][1]
[-15,2.24784,22][1]
[-14,2.86585,22][1]
[-13,3.55145,22][0]
[-12,4.23442,22][0]
[-11,4.84906,22][0]
[-10,5.35301,22][0]
[-9,5.73003,22][0]
[-8,5.98333,22][0]
[-7,6.15176,22][0]
[-6,6.0926,22][1]
[-5,6.53141,22][1]
[-4,6.0811,22][0]
[-3,4.41529,22][0]
[-2,3.24613,22][0]
[-1,2.32196,22][0]
[0,1.61434,22][0]
[1,1.08692,22][0]
[2,0.718601,22][0]
[3,0.481541,22][1]
[4,0.340579,22][1]
[5,0.260472,22][1]
[6,0.212469,22][1]
[7,0.177594,22][0]
[8,0.146387,22][0]
[9,0.116218,22][0]
[10,0.0878867,22][0]
[11,0.062996,22][0]
[12,0.0426646,22][0]
[13,0.0272177,22][0]
[14,0.0163116,22][0]
[15,0.00916554,22][0]
[16,0.00482239,22][0]
[17,0.00237339,22][0]
[18,0.00109161,22][0]
[19,0.000468764,22][0]
[20,0.000187754,22][0]
[21,7.00656e-05,22][0]
[22,2.43327e-05,22][1]
[23,7.85377e-06,22][1]
[24,2.35257e-06,22][0]
[25,6.52946e-07,22][0]
[26,1.67608e-07,22][0]
[27,3.97107e-08,22][0]
[28,8.66374e-09,22][0]
[29,1.73599e-09,22][0]
[30,3.18598e-10,22][0]
[31,5.40766e-11,22][0]
[32,1.36459e-11,22][0]
[-32,0.808278,21][0]
[-31,0.824083,21][0]
[-30,0.832431,21][0]
[-29,0.83971,21][0]
[-28,0.812611,21][1]
[-27,0.717129,21][1]
[-26,0.559997,21][0]
[-25,0.384987,21][0]
[-24,0.265368,21][0]
[-23,0.212627,21][0]
[-22,0.215976,21][0]
[-21,0.268971,21][1]
[-20,0.379701,21][1]
[-19,0.566687,21][1]
[-18,0.837873,21][1]
[-17,1.16652,21][0]
[-16,1.57462,21][0]
[-15,2.09337,21][1]
[-14,2.74164,21][1]
[-13,3.47002,21][0]
[-12,4.19755,21][0]
[-11,4.84785,21][0]
[-10,5.37771,21][0]
[-9,5.76804,21][0]
[-8,6.02146,21][0]
[-7,6.17799,21][0]
[-6,6.08762,21][1]
[-5,6.40053,21][1]
[-4,5.94784,21][0]
[-3,4.39839,21][0]
[-2,3.24147,21][0]
[-1,2.30743,21][0]
[0,1.58661,21][0]
[1,1.04861,21][0]
[2,0.674415,21][0]
[3,0.436378,21][1]
[4,0.298378,21][1]
[5,0.223242,21][1]
[6,0.180071,21][1]
[7,0.148723,21][0]
[8,0.120169,21][0]
[9,0.093021,21][0]
[10,0.0687327,21][0]
[11,0.0485189,21][0]
[12,0.0326248,21][0]
[13,0.0207699,21][0]
[14,0.0124489,21][0]
[15,0.00700053,21][0]
[16,0.00368673,21][0]
[17,0.0018163,21][0]
[18,0.000836339,21][0]
[19,0.000359607,21][0]
[20,0.000144247,21][0]
[21,5.39209e-05,21][0]
[22,1.87616e-05,21][0]
[23,6.06853e-06,21][0]
[24,1.82205e-06,21][0]
[25,5.06986e-07,21][0]
[26,1.30494e-07,21][0]
[27,3.1006e-08,21][0]
[28,6.78492e-09,21][0]
[29,1.36375e-09,21][0]
[30,2.51083e-10,21][0]
[31,4.27602e-11,21][0]
[32,1.08287e-11,21][0]
[-32,0.84905,20][0]
[-31,0.869219,20][0]
[-30,0.880572,20][0]
[-29,0.890158,20][0]
[-28,0.850537,20][0]
[-27,0.720053,20][1]
[-26,0.518316,20][1]
[-25,0.341185,20][0]
[-24,0.244591,20][0]
[-23,0.211223,20][0]
[-22,0.197496,20][0]
[-21,0.194401,20][0]
[-20,0.233911,20][1]
[-19,0.354453,20][1]
[-18,0.561579,20][1]
[-17,0.853656,20][1]
[-16,1.22688,20][0]
[-15,1.75473,20][0]
[-14,2.45499,20][0]
[-13,3.2713,20][0]
[-12,4.07795,20][1]
[-11,4.39029,20][1]
[-10,4.95975,20][0]
[-9,5.77527,20][0]
[-8,6.04399,20][0]
[-7,6.20426,20][0]
[-6,6.30169,20][1]
[-5,6.68787,20][1]
[-4,6.02419,20][0]
[-3,4.38233,20][0]
[-2,3.22473,20][0]
[-1,2.28133,20][0]
[0,1.5486,20][0]
[1,1.00306,20][0]
[2,0.627466,20][0]
[3,0.393828,20][1]
[4,0.264216,20][1]
[5,0.198197,20][1]
[6,0.161179,20][1]
[7,0.131523,20][0]
[8,0.102054,20][0]
[9,0.0745649,20][0]
[10,0.0521927,20][0]
[11,0.0355374,20][0]
[12,0.0234909,20][0]
[13,0.0148753,20][0]
[14,0.00891216,20][0]
[15,0.00501696,20][0]
[16,0.00264582,20][0]
[17,0.00130549,20][0]
[18,0.000602146,20][0]
[19,0.000259397,20][0]
[20,0.00010427,20][0]
[21,3.90688e-05,20][1]
[22,1.36295e-05,20][1]
[23,4.42119e-06,20][0]
[24,1.3316e-06,20][0]
[25,3.71767e-07,20][0]
[26,9.60328e-08,20][0]
[27,2.29041e-08,20][0]
[28,5.03179e-09,20][0]
[29,1.01551e-09,20][0]
[30,1.87753e-10,20][0]
[31,3.21158e-11,20][0]
[32,8.17107e-12,20][0]
[-32,0.878272,19][0]
[-31,0.901324,19][0]
[-30,0.914936,19][0]
[-29,0.92747,19][0]
[-28,0.886238,19][0]
[-27,0.74424,19][1]
[-26,0.541393,19][1]
[-25,0.382101,19][0]
[-24,0.312299,19][0]
[-23,0.28934,19][0]
[-22,0.248181,19][0]
[-21,0.194032,19][0]
[-20,0.170372,19][0]
[-19,0.206862,19][0]
[-18,0.316778,19][1]
[-17,0.497985,19][1]
[-16,0.787583,19][1]
[-15,1.26515,19][1]
[-14,2.01365,19][1]
[-13,2.93046,19][1]
[-12,4.27242,19][1]
[-11,4.68524,19][1]
[-10,4.91583,19][0]
[-9,5.76125,19][0]
[-8,6.05121,19][0]
[-7,6.22836,19][0]
[-6,6.02528,19][1]
[-5,6.59192,19][1]
[-4,6.20937,19][0]
[-3,4.36018,19][0]
[-2,3.19738,19][0]
[-1,2.24324,19][0]
[0,1.50031,19][0]
[1,0.950769,19][0]
[2,0.578434,19][1]
[3,0.354088,19][1]
[4,0.237335,19][1]
[5,0.183416,19][0]
[6,0.153171,19][0]
[7,0.123555,19][0]
[8,0.0906174,19][0]
[9,0.0607811,19][0]
[10,0.0389771,19][0]
[11,0.0249155,19][0]
[12,0.0159593,19][0]
[13,0.0100018,19][0]
[14,0.00598397,19][0]
[15,0.00337283,19][0]
[16,0.00178205,19][0]
[17,0.000881095,19][0]
[18,0.000407296,19][0]
[19,0.000175884,19][0]
[20,7.08891e-05,19][1]
[21,2.664e-05,19][1]
[22,9.32383e-06,19][1]
[23,3.03526e-06,19][0]
[24,9.17696e-07,19][0]
[25,2.57267e-07,19][0]
[26,6.67474e-08,19][0]
[27,1.5993e-08,19][0]
[28,3.53044e-09,19][0]
[29,7.16066e-10,19][0]
[30,1.33071e-10,19][0]
[31,2.28854e-11,19][0]
[32,5.85597e-12,19][0]
[-32,0.890524,18][0]
[-31,0.91432,18][0]
[-30,0.928983,18][0]
[-29,0.945608,18][0]
[-28,0.915948,18][0]
[-27,0.801827,18][0]
[-26,0.631453,18][1]
[-25,0.492743,18][1]
[-24,0.419458,18][0]
[-23,0.358548,18][0]
[-22,0.282805,18][0]
[-21,0.205093,18][0]
[-20,0.15331,18][0]
[-19,0.138598,18][0]
[-18,0.166122,18][0]
[-17,0.24439,18][0]
[-16,0,18][1]
[-15,0,18][1]
[-14,1.47823,18][1]
[-13,2.49894,18][1]
[-12,4.81375,18][0]
[-11,5.98725,18][1]
[-10,5.48478,18][1]
[-9,5.74259,18][0]
[-8,6.03997,18][0]
[-7,6.23662,18][0]
[-6,6.03669,18][1]
[-5,6.28381,18][1]
[-4,5.87939,18][0]
[-3,4.32406,18][0]
[-2,3.15983,18][0]
[-1,2.19618,18][0]
[0,1.4456,18][0]
[1,0.895641,18][1]
[2,0.029723,18][1]
[3,-0.183817,18][1]
[4,0.211756,18][0]
[5,0.168346,18][0]
[6,0.143578,18][0]
[7,0.114203,18][0]
[8,0.0795186,18][0]
[9,0.0490228,18][0]
[10,0.0284631,18][0]
[11,0.0167447,18][0]
[12,0.0102428,18][0]
[13,0.00631569,18][0]
[14,0.00376851,18][0]
[15,0.00212708,18][0]
[16,0.00112643,18][0]
[17,0.000558337,18][0]
[18,0.000258793,18][0]
[19,0.000112081,18][0]
[20,4.53177e-05,18][1]
[21,1.70898e-05,18][1]
